,formatted_address,name,opening_hours,place_id,price_level,rating,types,user_ratings_total,website
0,"5990 University Blvd #4, Coraopolis, PA 15108, United States",Giant Eagle Supermarket,{'open_now': False},ChIJw4otH-F7NYgR-BZhwPDfyUg,2.0,4.1,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",1462,https://www.gianteagle.com/stores/pa/coraopolis/moon-township-giant-eagle/68?utm_source=google&utm_medium=organic&utm_campaign=ge_ll
1,"1551 Washington Rd, Mt Lebanon, PA 15228, United States",The Fresh Market,{'open_now': False},ChIJadD6SMz5NIgRsPk3wZhe_30,3.0,4.3,"['grocery_or_supermarket', 'supermarket', 'bakery', 'store', 'food', 'point_of_interest', 'establishment']",665,https://stores.thefreshmarket.com/pa/mt-lebanon/138
2,"125 Virginia Ave, Pittsburgh, PA 15211, United States",SHOP ‘n SAVE,{'open_now': False},ChIJTYKYWUvxNIgRgTBQ97F4VQY,,4.0,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",715,https://www.shopnsavefood.com/StoreLocator/Store/?L=1076&S=
3,"1616 Broadway Ave, Pittsburgh, PA 15216, United States",IGA Market on Broadway,{'open_now': False},ChIJN7wvSNn2NIgRhNr8PnaYm_I,,4.1,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",538,http://www.marketbroadway.iga.com/
4,"648 3rd St, Beaver, PA 15009, United States",Beaver Supermarket,{'open_now': False},ChIJnfnlxcZvNIgRmWeptWjAw6M,,4.5,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",480,https://beaversupermarket.net/weekly-specials/
5,"1197 Freedom Rd, Cranberry Twp, PA 16066, United States",Cranberry Shop N Save,{'open_now': False},ChIJC7r937hiNIgR2jsFr4-IzrE,,4.4,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",928,https://www.shopnsavefood.com/StoreLocator/Store/?L=1078&S=
6,"5550 Centre Ave, Pittsburgh, PA 15232, United States",Market District Supermarket,{'open_now': False},ChIJS1VVVRDyNIgRZH6zaKD986M,,4.3,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",4694,https://www.marketdistrict.com/store-locator/store-details?number=67&utm_source=google&utm_medium=organic&utm_campaign=ge_ll
7,"125 W Beau St, Washington, PA 15301, United States",Shop 'N Save,{'open_now': False},ChIJbyL7fLutNYgR_P8BrU4JTHk,,4.0,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",1063,http://www.shopnsavefood.com/
8,"725 Ross Ave, Pittsburgh, PA 15221, United States",Save A Lot,{'open_now': False},ChIJP0kgbNDtNIgRhOXNN2vB2t4,,3.9,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",765,https://savealot.com/grocery-stores/pittsburgh-15221-21499?utm_source=google&utm_medium=organic&utm_campaign=gmb
9,"3620 William Penn Hwy, Monroeville, PA 15146, United States",Gordon Food Service Store,{'open_now': False},ChIJ3SNR3tvrNIgRfUcvpINr2KQ,,4.6,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",285,https://gfsstore.com/?utm_source=gmb&utm_medium=yext
